evrak_no,tarih,urun_aciklamasi,unit_price_usd,miktar_mt,fabric_type,source_file
202500122,2025-01-09,POLY.BISTRECH BELARUS DUZ BOYA,3.0,1397.0,bistrech,lescon_dokuma
202500832,2025-01-16,POLY.BISTRECH BELARUS DUZ BOYA,3.0,-1397.0,bistrech,lescon_dokuma
202500285,2025-01-17,POLY.BISTRECH BELARUS DUZ BOYA,3.0,1244.0,bistrech,lescon_dokuma
202500417,2025-01-22,POLY.BISTRECH BELARUS DUZ BOYA,3.0,2138.0,bistrech,lescon_dokuma
202500581,2025-01-30,POLY.BISTRECH BELARUS DUZ BOYA,3.0,1514.0,bistrech,lescon_dokuma
202500607,2025-02-03,POLY.BISTRECH BELARUS DUZ BOYA,3.0,1286.0,bistrech,lescon_dokuma
202502134,2025-04-17,POLY.BISTRECH TAYLAN 2/2 DUZ BOYA,3.7,216.0,bistrech,lescon_dokuma
202502134,2025-04-17,POLY.BISTRECH TAYLAN 2/2 DUZ BOYA,3.7,170.0,bistrech,lescon_dokuma
202502613,2025-05-07,FASON BOYAMA,0.6,185.0,fason,lescon_dokuma
202502935,2025-05-21,FASON BOYAMA,0.6,213.0,fason,lescon_dokuma
202502954,2025-05-22,MICRO SATEN DZU BOYA,2.1,388.0,saten,lescon_dokuma
202502954,2025-05-22,MICRO SATEN DZU BOYA,2.1,78.0,saten,lescon_dokuma
202506827,2025-05-23,FASON BOYAMA,0.6,-213.0,fason,lescon_dokuma
202503108,2025-05-29,MICRO SATEN DUZ BOYA,2.1,289.0,saten,lescon_dokuma
202503309,2025-06-11,POLY.BISTRECH BELARUS DUZ BOYA,3.0,2762.0,bistrech,lescon_dokuma
202503309,2025-06-11,POLY.BISTRECH BELARUS DUZ BOYA,3.0,880.0,bistrech,lescon_dokuma
202503309,2025-06-11,POLY.BISTRECH BELARUS DUZ BOYA,3.0,1360.0,bistrech,lescon_dokuma
202503309,2025-06-11,POLY.BISTRECH BELARUS DUZ BOYA,3.0,1445.0,bistrech,lescon_dokuma
202503308,2025-06-11,NAYL.DOWN PROOF 20D VICTORIA SUIT.KALENDER,2.15,791.0,down_proof,lescon_dokuma
202503334,2025-06-12,FASON BOYAMA,0.6,198.0,fason,lescon_dokuma
202503343,2025-06-13,POLY.BISTRECH BELARUS DUZ BOYA,3.0,2588.0,bistrech,lescon_dokuma
202503454,2025-06-21,POLY.ULTRALIGHT 30D DUZ BOYA,1.9,359.0,polyester,lescon_dokuma
202503454,2025-06-21,POLY.ULTRALIGHT 30D DUZ BOYA,1.9,382.0,polyester,lescon_dokuma
202503578,2025-06-27,NAYL.DOWN PROOF 20D VICTORIA SUIT.KALENDER,2.15,867.0,down_proof,lescon_dokuma
202503622,2025-06-30,MELTEM SUIT.YAG ITICI MEMBRAN LAMINASYON,3.1,1950.0,other,lescon_dokuma
202503622,2025-06-30,MELTEM SUIT.YAG ITICI MEMBRAN LAMINASYON,3.1,2150.0,other,lescon_dokuma
202503752,2025-07-07,MELTEM SUIT.YAG ITICI MEMBRAN LAMINASYON,3.1,744.0,other,lescon_dokuma
202503752,2025-07-07,MELTEM SUIT.YAG ITICI MEMBRAN LAMINASYON,3.1,462.0,other,lescon_dokuma
202504140,2025-07-30,POLY.ASTAR DUZ BOYA,0.72,413.83,polyester,lescon_dokuma
202504211,2025-08-04,MELTEM SUIT.YAG ITICI MEMBRAN LAMINASYON,3.1,764.0,other,lescon_dokuma
202504722,2025-09-03,MELTEM SUIT.YAG ITICI MEMBRAN LAMINASYON,3.1,341.0,other,lescon_dokuma
202505581,2025-10-13,POLY.ULTRALIGHT 30D SU ITICI,2.0,1515.0,polyester,lescon_dokuma
202505846,2025-10-27,NAYL.BISTRECH SUPER ASTOR DUZ BOYA,3.0,1621.0,bistrech,lescon_dokuma
202505846,2025-10-27,NAYL.BISTRECH SUPER ASTOR DUZ BOYA,3.0,1637.0,bistrech,lescon_dokuma
202505884,2025-10-30,NAYL.BISTRECH SUPER ASTOR DUZ BOYA,3.0,1411.0,bistrech,lescon_dokuma
202511905,2025-11-03,NAYL.BISTRECH SUPER ASTOR DUZ BOYA,3.0,-1411.0,bistrech,lescon_dokuma
202506055,2025-11-07,"MELTEM 2*2 SUIT.YAG ITICI MEMBRAN LAMINASYON,",3.1,40.0,other,lescon_dokuma
202506055,2025-11-07,"MELTEM 2*2 SUIT.YAG ITICI MEMBRAN LAMINASYON,",3.1,30.0,other,lescon_dokuma
202506354,2025-11-17,NAYL.BISTRECH SUPER ASTOR DUZ BOYA,3.0,1274.0,bistrech,lescon_dokuma
202506488,2025-11-26,POLY.BISTRECH RIBSTOP DUZ BOYA,2.75,2358.05,bistrech,lescon_dokuma
202506523,2025-11-28,POLY.BISTRECH RIBSTOP DUZ BOYA,2.75,1579.0,bistrech,lescon_dokuma
202506568,2025-12-01,POLY.BISTRECH RIBSTOP DUZ BOYA,2.75,262.0,bistrech,lescon_dokuma
202506800,2025-12-12,POLY.BISTRECH RIBSTOP DUZ BOYA,2.75,1120.28,bistrech,lescon_dokuma
202506799,2025-12-12,MELTEM SUIT.YAGIT.MEMBRAN LAMINASYON,3.1,36.0,other,lescon_dokuma
202506799,2025-12-12,MELTEM SUIT.YAGIT.MEMBRAN LAMINASYON,3.1,37.0,other,lescon_dokuma
202600013,2026-01-02,MELTEM SUIT.YAG IT.MEMB.LAMINASYON,3.2,17.0,other,lescon_dokuma
202600732,2026-02-10,POLY.BISTRECH RIBSTOP INCE DUZ BOYALI,2.5,15.0,bistrech,lescon_dokuma
202601125,2026-03-02,POLY.BISTRECH RIBSTOP DUZ BOYALI,2.4,53.0,bistrech,lescon_dokuma
202601211,2026-03-05,NAYL.DOWN PROOF 20D VICT.SUIT.KALENDERLI,2.15,597.0,down_proof,lescon_dokuma
202601547,2026-03-25,POLY.ULTRALIGHT 30D DUZ BOYALI,1.8,492.0,polyester,lescon_dokuma
202601611,2026-03-30,POLY.ULTRALIGHT 30D DUZ BOYALI,1.8,411.0,polyester,lescon_dokuma
